record_id,source_file,title,journal,pub_year,pmid,pmcid,article_type,chunk_index,chunk_count,chunk_strategy,chunk_chars
pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,PLoS Biology,2003,12929205,PMC176545,research-article,0,1,whole_title_abstract,2211
pmc_000002,PMC000xxxxxx/PMC176546.xml,DNA Analysis Indicates That Asian Elephants Are Native to Borneo and Are Therefore a High Priority for Conservation,PLoS Biology,2003,12929206,PMC176546,research-article,0,1,whole_title_abstract,1517
pmc_000003,PMC000xxxxxx/PMC176547.xml,Borneo Elephants: A High Priority for Conservation,PLoS Biology,2003,,PMC176547,research-article,0,1,whole_title_abstract,50
pmc_000004,PMC000xxxxxx/PMC176548.xml,Monitoring Malaria: Genomic Activity of the Parasite in Human Blood Cells,PLoS Biology,2003,,PMC176548,research-article,0,1,whole_title_abstract,73
pmc_000005,PMC000xxxxxx/PMC193604.xml,Drosophila Free-Running Rhythms Require Intercellular Communication,PLoS Biology,2003,12975658,PMC193604,research-article,0,1,whole_title_abstract,2405
pmc_000006,PMC000xxxxxx/PMC193605.xml,From Gene Trees to Organismal Phylogeny in Prokaryotes:The Case of the γ-Proteobacteria,PLoS Biology,2003,12975657,PMC193605,research-article,0,1,whole_title_abstract,1863
pmc_000007,PMC000xxxxxx/PMC193606.xml,Biological Clock Depends on Many Parts Working Together,PLoS Biology,2003,,PMC193606,research-article,0,1,whole_title_abstract,55
pmc_000008,PMC000xxxxxx/PMC193607.xml,New Genomic Approach Predicts True Evolutionary History of Bacterial Genomes,PLoS Biology,2003,,PMC193607,research-article,0,1,whole_title_abstract,76
pmc_000009,PMC000xxxxxx/PMC212319.xml,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,BMC Cell Biology,2003,12969509,PMC212319,research-article,0,1,whole_title_abstract,1481
pmc_000010,PMC000xxxxxx/PMC212687.xml,A Functional Analysis of the Spacer of V(D)J Recombination Signal Sequences,PLoS Biology,2003,14551903,PMC212687,research-article,0,1,whole_title_abstract,1867
pmc_000011,PMC000xxxxxx/PMC212688.xml,Functional Analysis of RSS Spacers,PLoS Biology,2003,,PMC212688,research-article,0,1,whole_title_abstract,34
pmc_000012,PMC000xxxxxx/PMC212689.xml,Genetically Modified Corn— Environmental Benefits and Risks,PLoS Biology,2003,14551906,PMC212689,research-article,0,1,whole_title_abstract,169
pmc_000013,PMC000xxxxxx/PMC212690.xml,Out of the Way,PLoS Biology,2003,14551907,PMC212690,research-article,0,1,whole_title_abstract,140
pmc_000014,PMC000xxxxxx/PMC212691.xml,The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway,PLoS Biology,2003,14551908,PMC212691,research-article,0,1,whole_title_abstract,2025
pmc_000015,PMC000xxxxxx/PMC212692.xml,Genome-Wide RNAi of C. elegans Using the Hypersensitive rrf-3 Strain Reveals Novel Gene Functions,PLoS Biology,2003,14551910,PMC212692,research-article,0,1,whole_title_abstract,1500
pmc_000016,PMC000xxxxxx/PMC212693.xml,Heterochromatin Dynamics,PLoS Biology,2003,14551911,PMC212693,research-article,0,1,whole_title_abstract,167
pmc_000017,PMC000xxxxxx/PMC212694.xml,Microarray Analysis,PLoS Biology,2003,14551912,PMC212694,research-article,0,1,whole_title_abstract,241
pmc_000018,PMC000xxxxxx/PMC212695.xml,V(D)J Recombination and the Evolution of the Adaptive Immune System,PLoS Biology,2003,14551913,PMC212695,research-article,0,1,whole_title_abstract,278
pmc_000019,PMC000xxxxxx/PMC212696.xml,Neuroscience Networks,PLoS Biology,2003,14551914,PMC212696,research-article,0,1,whole_title_abstract,185
pmc_000020,PMC000xxxxxx/PMC212697.xml,Digital Evolution,PLoS Biology,2003,14551915,PMC212697,research-article,0,1,whole_title_abstract,131
