record_id,source_file,full_token_len,estimated_chunks_full,section_title_count,has_any_section_title,has_introduction,has_methods,has_results,has_discussion,has_conclusion
pmc_000001,PMC000xxxxxx/PMC176545.xml,17219,54,22,True,True,True,True,True,False
pmc_000002,PMC000xxxxxx/PMC176546.xml,4967,16,11,True,True,True,True,True,False
pmc_000003,PMC000xxxxxx/PMC176547.xml,347,1,0,False,False,False,False,False,False
pmc_000004,PMC000xxxxxx/PMC176548.xml,603,2,0,False,False,False,False,False,False
pmc_000005,PMC000xxxxxx/PMC193604.xml,7981,25,14,True,True,True,True,True,False
pmc_000006,PMC000xxxxxx/PMC193605.xml,8922,28,13,True,True,True,True,True,False
pmc_000007,PMC000xxxxxx/PMC193606.xml,531,2,0,False,False,False,False,False,False
pmc_000008,PMC000xxxxxx/PMC193607.xml,646,2,0,False,False,False,False,False,False
pmc_000009,PMC000xxxxxx/PMC212319.xml,7192,23,17,True,True,False,True,True,True
pmc_000010,PMC000xxxxxx/PMC212687.xml,13483,42,25,True,True,True,True,True,False
pmc_000011,PMC000xxxxxx/PMC212688.xml,776,3,0,False,False,False,False,False,False
pmc_000012,PMC000xxxxxx/PMC212689.xml,4506,14,4,True,False,False,False,False,True
pmc_000013,PMC000xxxxxx/PMC212690.xml,1289,4,0,False,False,False,False,False,False
pmc_000014,PMC000xxxxxx/PMC212691.xml,20477,64,18,True,True,True,True,True,False
pmc_000015,PMC000xxxxxx/PMC212692.xml,7744,24,14,True,True,True,True,True,False
pmc_000016,PMC000xxxxxx/PMC212693.xml,1849,6,0,False,False,False,False,False,False
pmc_000017,PMC000xxxxxx/PMC212694.xml,1781,6,2,True,False,False,False,False,False
pmc_000018,PMC000xxxxxx/PMC212695.xml,3222,10,7,True,False,False,False,False,True
pmc_000019,PMC000xxxxxx/PMC212696.xml,1766,6,0,False,False,False,False,False,False
pmc_000020,PMC000xxxxxx/PMC212697.xml,4599,15,4,True,False,False,False,False,False
pmc_000021,PMC000xxxxxx/PMC212698.xml,13122,41,22,True,True,True,True,True,False
pmc_000022,PMC000xxxxxx/PMC212699.xml,6645,21,15,True,True,True,True,True,False
pmc_000023,PMC000xxxxxx/PMC212700.xml,755,3,0,False,False,False,False,False,False
pmc_000024,PMC000xxxxxx/PMC212701.xml,594,2,0,False,False,False,False,False,False
pmc_000025,PMC000xxxxxx/PMC212702.xml,3281,11,5,True,False,False,False,False,False
pmc_000026,PMC000xxxxxx/PMC212703.xml,452,2,0,False,False,False,False,False,False
pmc_000027,PMC000xxxxxx/PMC212704.xml,701,2,0,False,False,False,False,False,False
pmc_000028,PMC000xxxxxx/PMC212705.xml,1129,4,0,False,False,False,False,False,False
pmc_000029,PMC000xxxxxx/PMC212706.xml,2365,8,3,True,False,False,False,False,False
pmc_000030,PMC000xxxxxx/PMC261870.xml,3259,10,12,True,True,True,True,True,False
pmc_000031,PMC000xxxxxx/PMC300675.xml,895,3,0,False,False,False,False,False,False
pmc_000032,PMC000xxxxxx/PMC300700.xml,126,1,0,False,False,False,False,False,False
pmc_000033,PMC000xxxxxx/PMC300881.xml,7108,22,5,True,True,True,True,True,False
pmc_000034,PMC000xxxxxx/PMC300882.xml,8575,27,26,True,True,True,True,True,True
pmc_000035,PMC000xxxxxx/PMC300883.xml,11954,38,16,True,True,True,True,True,False
pmc_000036,PMC000xxxxxx/PMC300884.xml,890,3,0,False,False,False,False,False,False
pmc_000037,PMC000xxxxxx/PMC300885.xml,905,3,0,False,False,False,False,False,False
pmc_000038,PMC000xxxxxx/PMC300886.xml,1073,4,0,False,False,False,False,False,False
pmc_000039,PMC000xxxxxx/PMC314300.xml,9894,31,14,True,True,True,True,True,False
pmc_000040,PMC000xxxxxx/PMC314301.xml,918,3,0,False,False,False,False,False,False
pmc_000041,PMC000xxxxxx/PMC314462.xml,3117,10,4,True,False,False,False,False,False
pmc_000042,PMC000xxxxxx/PMC314463.xml,15139,48,23,True,True,True,True,True,False
pmc_000043,PMC000xxxxxx/PMC314464.xml,8807,28,19,True,True,True,True,True,False
pmc_000044,PMC000xxxxxx/PMC314465.xml,4910,16,8,True,True,True,True,True,False
pmc_000045,PMC000xxxxxx/PMC314466.xml,13908,44,22,True,True,True,True,True,False
pmc_000046,PMC000xxxxxx/PMC314467.xml,1244,4,0,False,False,False,False,False,False
