section_title,count
background,1982
discussion,1910
results,1825
methods,1643
authors' contributions,1602
conclusions,1392
competing interests,1047
pre-publication history,734
introduction,489
conclusion,471
supplementary material,401
materials and methods,391
statistical analysis,367
results and discussion,267
list of abbreviations,251
abbreviations,178
supporting information,174
data analysis,125
accession numbers,107
subjects,93
case presentation,73
statistics,72
statistical analyses,68
author's contributions,68
list of abbreviations used,65
animals,59
cell culture,58
patients,58
materials,57
availability and requirements,56
study design,53
analysis,53
authors contributions,51
implementation,50
participants,47
additional data files,47
authors' contribution,46
study population,45
statistical methods,40
data collection,38
immunohistochemistry,35
results/discussion,34
limitations,34
competing interest,29
procedure,28
measures,25
summary,24
design,24
western blot analysis,24
western blotting,23
