id,record_id,source_file,title,section_title,section_index,section_source,chunk_index,chunk_count,within_section_chunk_index,within_section_chunk_count,chunk_chars,chunk_token_len_approx
pmc_000001::chunk_00000,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Title and abstract,-1,record_title_abstract,0,41,0,1,2211,314
pmc_000001::chunk_00001,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,0,xml_top_level_sec,1,41,0,4,12,1
pmc_000001::chunk_00002,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,0,xml_top_level_sec,2,41,1,4,2544,376
pmc_000001::chunk_00003,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,0,xml_top_level_sec,3,41,2,4,2548,399
pmc_000001::chunk_00004,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,0,xml_top_level_sec,4,41,3,4,1774,274
pmc_000001::chunk_00005,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,5,41,0,22,7,1
pmc_000001::chunk_00006,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,6,41,1,22,2611,396
pmc_000001::chunk_00007,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,7,41,2,22,2579,377
pmc_000001::chunk_00008,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,8,41,3,22,2430,393
pmc_000001::chunk_00009,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,9,41,4,22,2556,397
pmc_000001::chunk_00010,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,10,41,5,22,2665,398
pmc_000001::chunk_00011,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,11,41,6,22,2651,383
pmc_000001::chunk_00012,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,12,41,7,22,2752,389
pmc_000001::chunk_00013,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,13,41,8,22,2861,387
pmc_000001::chunk_00014,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,14,41,9,22,2637,386
pmc_000001::chunk_00015,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,15,41,10,22,2560,390
pmc_000001::chunk_00016,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,16,41,11,22,2536,368
pmc_000001::chunk_00017,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,17,41,12,22,2661,377
pmc_000001::chunk_00018,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,18,41,13,22,2790,400
pmc_000001::chunk_00019,pmc_000001,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,19,41,14,22,2663,391
