query,rank,distance,id,record_id,title,section_title,source_file,snippet
Plasmodium falciparum gene expression malaria vaccine candidates,1,0.8020628094673157,pmc_000001::chunk_00002,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,PMC000xxxxxx/PMC176545.xml,"Human malaria is caused by four species of the parasitic protozoan genus Plasmodium . Of these four species, Plasmodium falciparum is responsible for the vast majority of the 300–500 million episodes of malaria worldwide and accounts for 0.7–2.7 million annual deaths. In many endemic countries, malaria is responsible f"
Plasmodium falciparum gene expression malaria vaccine candidates,2,0.816227376461029,pmc_000017::chunk_00003,pmc_000017,Microarray Analysis,Fundamental Microarray Technology,PMC000xxxxxx/PMC212694.xml,". A general approach to performing gene expression profiling experiments is indicated as a flow diagram in Figure 1 . Having performed the experiment, quality control checks, statistical analysis, and data-mining are performed. More and more, investigators are interested not just in asking how large the magnitude of an"
Plasmodium falciparum gene expression malaria vaccine candidates,3,0.8184317350387573,pmc_000017::chunk_00000,pmc_000017,Microarray Analysis,Title and abstract,PMC000xxxxxx/PMC212694.xml,"Microarray Analysis Microarrays can survey genome-wide expression patterns. Not only can these gene expression profiles be used to identify a few genes of interest, they are now being creatively applied for hypothesis generation and testing"
Plasmodium falciparum gene expression malaria vaccine candidates,4,0.820711076259613,pmc_000001::chunk_00019,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". IDC Transcriptional Regulation and Chromosomal Structure Transcriptional regulation of chromosomal gene expression in P. falciparum is thought to be monocistronic, with transcriptional control of gene expression occurring through regulatory sequence elements upstream and downstream of the coding sequence ( Horrocks e"
Plasmodium falciparum gene expression malaria vaccine candidates,5,0.8228273391723633,pmc_000004::chunk_00003,pmc_000004,Monitoring Malaria: Genomic Activity of the Parasite in Human Blood Cells,Body,PMC000xxxxxx/PMC176548.xml,". falciparum that encode proteins of unknown function. P. falciparum appears to be ultra-streamlined and exquisitely tuned to perform a single job: consume, replicate, and invade. The simple program regulating the life of P. falciparum may hold the key to its downfall as any perturbation of the regulatory program will "
cancer apoptosis p53 cell cycle,1,0.9040754437446594,pmc_000006::chunk_00006,pmc_000006,From Gene Trees to Organismal Phylogeny in Prokaryotes:The Case of the γ-Proteobacteria,Results,PMC000xxxxxx/PMC193605.xml,"Gene Families and Identification of Orthologous Genes The proteins of 13 complete γ-proteobacterial genomes were classified into an initial set of 14,158 homolog families, using the procedures described in Materials and Methods . Figure 1 A shows the distribution of the number of genes per family. A majority (7,655) of"
cancer apoptosis p53 cell cycle,2,0.9063414335250854,pmc_000009::chunk_00023,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Confocal microscopy,PMC000xxxxxx/PMC212319.xml,Confocal microscopy HIRcB cells were plated on poly-L-lysine coated glass coverslips and transfected with the constructs as indicated above. Cells were serum starved overnight and stimulated with 100 nM insulin. Live cells were imaged in a LSM5 Zeiss laser scanning confocal microscope equipped with a 63X oil immersion 
cancer apoptosis p53 cell cycle,3,0.9139336943626404,pmc_000002::chunk_00016,pmc_000002,DNA Analysis Indicates That Asian Elephants Are Native to Borneo and Are Therefore a High Priority for Conservation,Supporting Information,PMC000xxxxxx/PMC176546.xml,Supporting Information Accession Numbers The GenBank accession numbers for the sequences reported in this paper are AY245538 and AY245802 to AY245827.
cancer apoptosis p53 cell cycle,4,0.9145739674568176,pmc_000002::chunk_00006,pmc_000002,DNA Analysis Indicates That Asian Elephants Are Native to Borneo and Are Therefore a High Priority for Conservation,Results,PMC000xxxxxx/PMC176546.xml,". Figure 3 A Neighbour-Joining Phylogram of Asian Elephant Haplotypes Rooted with an African Elephant Out-Group Sunda Region haplotypes are in bold. Figure 4 Network of Asian Elephant Haplotypes Based on Statistical Parsimony Grey circles with letters denote haplotypes unique to the Sunda region (BD: Borneo; BQ, BV: pe"
cancer apoptosis p53 cell cycle,5,0.9304625391960144,pmc_000020::chunk_00002,pmc_000020,Digital Evolution,Complex Challenges and the Virtue of Simplicity,PMC000xxxxxx/PMC212697.xml,"He can hardly contain himself. ‘It's a win–win situation, leading towards increased generality, on the one hand, and further experiments to better understand specific outcomes, on the other’. For his part, Lenski has since gone much further with the technology ( Box 1 ; Figure 1 ) and also soon expects to be announcing"
