query,rank,distance,id,record_id,title,section_title,source_file,snippet
Plasmodium falciparum gene expression malaria vaccine candidates,1,0.7265335321426392,pmc_000001::chunk_00002,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,PMC000xxxxxx/PMC176545.xml,"Human malaria is caused by four species of the parasitic protozoan genus Plasmodium . Of these four species, Plasmodium falciparum is responsible for the vast majority of the 300–500 million episodes of malaria worldwide and accounts for 0.7–2.7 million annual deaths. In many endemic countries, malaria is responsible f"
Plasmodium falciparum gene expression malaria vaccine candidates,2,0.7351621389389038,pmc_000001::chunk_00009,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". For comparison, we applied our FFT analysis to the Saccharomyces cerevisiae cell cycle data, yielding only 194 profiles (3.8%) above a 70% score ( Figure S1 ). In addition, we randomly permuted the columns of the complete dataset 1,000 times, each time recalculating the FFT, for a total of 5 million profiles (see ins"
Plasmodium falciparum gene expression malaria vaccine candidates,3,0.7445504665374756,pmc_000001::chunk_00000,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Title and abstract,PMC000xxxxxx/PMC176545.xml,"The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum Plasmodium falciparum is the causative agent of the most burdensome form of human malaria, affecting 200–300 million individuals per year worldwide. The recently sequenced genome of P. falciparum revealed over 5,400 genes, of which "
Plasmodium falciparum gene expression malaria vaccine candidates,4,0.7527124285697937,pmc_000001::chunk_00025,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". In addition, the phase of the PfSUB1 homologue suggests a concomitant role, with PM IX slightly preceding merozoite invasion. In total, we have detected gene expression for over 80 putative proteases throughout the entire IDC ( Table S6 ). This set includes over 65 proteases from a group of recently predicted proteas"
Plasmodium falciparum gene expression malaria vaccine candidates,5,0.7660661935806274,pmc_000001::chunk_00003,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,PMC000xxxxxx/PMC176545.xml,". 2000 ; Ben Mamoun et al. 2001 ; Le Roch et al. 2002 ), serial analysis of gene expression ( Patankar et al. 2001 ), and mass spectrometry ( Florens et al. 2002 ; Lasonder et al. 2002 ) on a limited number of samples from different developmental stages. While all of these approaches have provided insight into the biol"
cancer apoptosis p53 cell cycle,1,0.7912908792495728,pmc_000002::chunk_00016,pmc_000002,DNA Analysis Indicates That Asian Elephants Are Native to Borneo and Are Therefore a High Priority for Conservation,Supporting Information,PMC000xxxxxx/PMC176546.xml,Supporting Information Accession Numbers The GenBank accession numbers for the sequences reported in this paper are AY245538 and AY245802 to AY245827.
cancer apoptosis p53 cell cycle,2,0.8123807907104492,pmc_000009::chunk_00016,pmc_000009,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Transient Transfection,PMC000xxxxxx/PMC212319.xml,Transient Transfection Subconfluent (70–90%) HIRcB cells were transfected with LipofectAMINE (Invitrogen) for biochemical analyses or Superfect (QIAGEN) for imaging analyses. Transfection was performed according to the manufacturer's instructions. Transfection efficiencies were 70–90% for LipofectAMINE and 40–50% for S
cancer apoptosis p53 cell cycle,3,0.843510627746582,pmc_000001::chunk_00013,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". Similar expression characteristics were detected for the enzymes of the purine salvage pathway, including the nucleoside conversion enzymes, hypoxanthine–guanine–xanthine phosphoribosyltransferase, and both guanylate and adenylate kinases ( Figure 2 E; Table S2 ). Trophozoite and Early-Schizont Stage The mRNA express"
cancer apoptosis p53 cell cycle,4,0.8450963497161865,pmc_000006::chunk_00023,pmc_000006,From Gene Trees to Organismal Phylogeny in Prokaryotes:The Case of the γ-Proteobacteria,Supporting Information,PMC000xxxxxx/PMC193605.xml,"Supporting Information Table S1 Names and Functional Categories of the 205 Genes Used to Reconstruct the Phylogenetical Relationship of γ-Proteobacteria (123 KB DOC). Click here for additional data file. Accession Numbers The GenBank accession numbers discussed in this paper are NC_000907, NC_000913, NC_002488, NC_0025"
cancer apoptosis p53 cell cycle,5,0.8514825105667114,pmc_000001::chunk_00016,pmc_000001,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". Genomic differences between strain 3D7, from which the complete genome was sequenced, and strain HB3 were measured by CGH. The relative hybridization between the gDNA derived from these two strains is shown as a percent reduction of the signal intensity for 3D7 ([A], CGH Data). Differences between the two strains are"
