metric,value
input_records,3028
eligible_fulltext_records,3028
quality_filter,not_applied
strategy,semantic_section_recursive
chunk_size,400
chunk_overlap,80
no_split_under,400
splitter_source,regex_approx_token_count:fallback_after_OSError
embedding_backend,local_hashing_tfidf_384
embedding_setup_seconds,5.946
strategy_comparison_path,not requested
total_chunks,56593
chroma_collection_count,56593
chunks_per_record_mean,18.68989431968296
chunks_per_record_median,19.0
chunks_per_record_p95,34.0
chunk_token_len_approx_mean,248.67123142438112
chunking_seconds,42.218
chroma_add_seconds,65.844
query_seconds_total,0.011
total_seconds,114.994
persist_directory,archive/experiments/indexes/chroma_fulltext_limit3028_hashidf
persist_size_bytes,904530652
persist_size_mb,862.63
batch_size,1000
top_k,5
chunks_from_record_title_abstract,3143
chunks_from_xml_body_fallback,1135
chunks_from_xml_top_level_sec,52315
