metric,value
input_records,20
eligible_fulltext_records,20
quality_filter,not_applied
strategy,semantic_section_recursive
chunk_size,400
chunk_overlap,80
no_split_under,400
splitter_source,regex_approx_token_count:fallback_after_OSError
embedding_backend,local_hashing_bow_dim_384
strategy_comparison_path,artifacts/metrics/t002_corpus_analysis/fulltext_chunk_strategy_comparison_smoke20.csv
total_chunks,311
chroma_collection_count,311
chunks_per_record_mean,15.55
chunks_per_record_median,10.0
chunks_per_record_p95,41.400000000000006
chunk_token_len_approx_mean,272.7106109324759
chunking_seconds,0.120
chroma_add_seconds,0.236
query_seconds_total,0.004
total_seconds,1.386
persist_directory,archive/experiments/indexes/chroma_fulltext_smoke20_hash
persist_size_bytes,6774948
persist_size_mb,6.46
batch_size,200
top_k,5
chunks_from_record_title_abstract,20
chunks_from_xml_body_fallback,27
chunks_from_xml_top_level_sec,264
