metric,value
input_records,20
eligible_fulltext_records,20
quality_filter,not_applied
strategy,semantic_section_recursive
chunk_size,400
chunk_overlap,80
no_split_under,400
splitter_source,regex_approx_token_count:fallback_after_OSError
embedding_backend,local_tfidf_384
embedding_setup_seconds,0.364
strategy_comparison_path,not requested
total_chunks,311
chroma_collection_count,311
chunks_per_record_mean,15.55
chunks_per_record_median,10.0
chunks_per_record_p95,41.400000000000006
chunk_token_len_approx_mean,272.7106109324759
chunking_seconds,0.134
chroma_add_seconds,0.270
query_seconds_total,0.005
total_seconds,1.689
persist_directory,archive/experiments/indexes/chroma_fulltext_smoke20_tfidf
persist_size_bytes,6795428
persist_size_mb,6.48
batch_size,200
top_k,5
chunks_from_record_title_abstract,20
chunks_from_xml_body_fallback,27
chunks_from_xml_top_level_sec,264
