term,count
gene expression,3689
united states,1937
amino acid,1881
cell lines,1850
health care,1611
statistically significant,1382
amino acids,1330
statistical analysis,1208
breast cancer,1128
patients who,1126
data set,1095
cell line,1057
public health,1034
risk factors,975
binding sites,922
information about,918
data analysis,896
wild type,896
cell cycle,873
control group,825
significant difference,824
room temperature,816
significant differences,812
data sets,799
standard deviation,780
genomic dna,761
quality life,761
expression levels,754
prostate cancer,743
age years,741
cell death,740
transcription factors,738
sample size,734
paper accessed,734
total rna,702
transcription factor,696
differentially expressed,681
mental health,673
cell types,672
blood pressure,663
epithelial cells,654
significantly higher,649
logistic regression,639
human genome,625
cancer cells,624
primary care,619
tumor cells,617
immune response,613
significantly different,599
expression patterns,597
closely related,596
western blot,595
data collection,595
il- il-,591
unpublished data,572
cells cells,562
mean age,546
high levels,545
binding site,544
important role,544
statistical significance,543
cell culture,541
physical activity,540
even though,539
body weight,538
growth factor,537
informed consent,526
expressed genes,525
expression data,521
microarray data,519
target genes,513
heart disease,509
analysis performed,500
pcr products,495
blot analysis,492
accession numbers,491
clinical trials,488
protein expression,488
immune system,486
family members,486
