term,count
california united states,483
differentially expressed genes,325
western blot analysis,310
amino acid sequence,263
body mass index,254
play important role,237
mean age years,231
central nervous system,228
cancer cell lines,211
mean standard deviation,203
world health organization,197
il- il- il-,188
gene expression data,187
coronary heart disease,187
amino acid sequences,179
years years years,179
gene expression profiles,176
polymerase chain reaction,176
open reading frame,174
little known about,173
performed statistical analysis,165
gene expression patterns,162
min room temperature,160
fetal bovine serum,159
health care system,158
fisher exact test,155
coronary artery disease,154
low back pain,153
protein hypothetical protein,151
genes differentially expressed,147
reactive oxygen species,145
statistically significant difference,144
primary health care,143
plays important role,137
changes gene expression,137
breast cancer cells,136
min min min,133
institutional review board,133
green fluorescent protein,132
amino acid residues,131
washed three times,130
written informed consent,129
smooth muscle cells,126
bovine serum albumin,122
magnetic resonance imaging,122
three independent experiments,121
statistically significant differences,121
analysis variance anova,121
logistic regression analysis,119
tumor cell lines,119
hypothetical protein hypothetical,119
nlm nih gov,117
genbank accession numbers,116
health-related quality life,116
low birth weight,114
cell cycle arrest,113
ncbi nlm nih,112
santa cruz biotechnology,112
xls data dataset,112
total rna isolated,110
fetal calf serum,110
obstructive pulmonary disease,110
chronic obstructive pulmonary,109
open reading frames,107
massachusetts united states,107
cell cycle progression,107
human immunodeficiency virus,107
informed consent obtained,107
total rna extracted,106
northern blot analysis,105
por causa minha,105
causa minha voz,105
standard error mean,104
transcription factor binding,104
gene expression levels,104
prostate cancer cells,104
tumor necrosis factor,103
real time pcr,103
health care providers,103
did differ significantly,102
