term,count
cells,34872
data,31377
genes,22852
patients,22417
expression,20739
gene,19997
cell,19968
analysis,19574
protein,18363
different,14972
health,13085
time,12764
human,11813
found,11813
sequence,11746
model,11681
group,11593
proteins,11177
activity,10801
treatment,10723
control,10672
significant,10615
dna,10479
levels,10294
some,10249
sequences,10124
high,10093
use,10063
three,9788
will,9768
compared,8931
based,8750
information,8750
effect,8719
disease,8460
total,8287
performed,8241
response,8186
similar,8069
level,8000
age,7998
mean,7966
any,7864
function,7841
associated,7788
see,7784
present,7751
groups,7733
about,7628
thus,7615
system,7566
specific,7559
test,7499
rate,7492
increased,7486
fig,7474
cancer,7344
many,7305
values,7271
who,7224
set,7216
low,7173
years,7163
research,7157
factors,7046
higher,7016
important,7011
population,6956
clinical,6947
effects,6947
species,6923
patient,6826
identified,6822
through,6805
several,6675
risk,6675
cases,6648
increase,6647
out,6598
did,6547
