term,count
genes,204
cells,199
gene,175
cell,168
expression,161
patients,124
data,123
protein,123
human,113
both,112
analysis,110
high,96
function,91
however,91
response,89
species,85
based,84
activity,83
disease,82
specific,82
significant,82
health,81
different,80
identified,79
compared,78
treatment,77
dna,75
show,74
associated,74
proteins,73
group,72
type,72
research,72
model,71
only,69
well,69
genome,68
many,68
levels,68
found,67
role,66
first,65
binding,65
control,65
related,65
cancer,65
complex,64
three,64
important,63
information,63
