record_id,too_short_abstract,empty_title,empty_abstract,empty_body,encoding_issue,duplicate_title_abstract,quality_decision
pmc_000001,False,False,False,False,False,False,keep
pmc_000002,False,False,False,False,False,False,keep
pmc_000003,True,False,True,False,False,False,keep_with_warning
pmc_000004,True,False,True,False,False,False,keep_with_warning
pmc_000005,False,False,False,False,False,False,keep
pmc_000006,False,False,False,False,False,False,keep
pmc_000007,True,False,True,False,False,False,keep_with_warning
pmc_000008,True,False,True,False,False,False,keep_with_warning
pmc_000009,False,False,False,False,False,False,keep
pmc_000010,False,False,False,False,False,False,keep
pmc_000011,True,False,True,False,False,False,keep_with_warning
pmc_000012,True,False,False,False,False,False,keep_with_warning
pmc_000013,True,False,False,False,False,False,keep_with_warning
pmc_000014,False,False,False,False,False,False,keep
pmc_000015,False,False,False,False,False,False,keep
pmc_000016,False,False,False,False,False,False,keep
pmc_000017,False,False,False,False,False,False,keep
pmc_000018,False,False,False,False,False,False,keep
pmc_000019,False,False,False,False,False,False,keep
pmc_000020,True,False,False,False,False,False,keep_with_warning
pmc_000021,False,False,False,False,False,False,keep
pmc_000022,False,False,False,False,False,False,keep
pmc_000023,True,False,True,False,False,False,keep_with_warning
pmc_000024,True,False,True,False,False,False,keep_with_warning
pmc_000025,False,False,False,False,False,False,keep
pmc_000026,True,False,True,False,False,False,keep_with_warning
pmc_000027,True,False,True,False,False,False,keep_with_warning
pmc_000028,True,False,False,False,False,False,keep_with_warning
pmc_000029,False,False,False,False,False,False,keep
pmc_000030,False,False,False,False,False,False,keep
pmc_000031,True,False,True,False,False,False,keep_with_warning
pmc_000032,True,False,True,False,False,False,keep_with_warning
pmc_000033,False,False,False,False,False,False,keep
pmc_000034,False,False,False,False,False,False,keep
pmc_000035,False,False,False,False,False,False,keep
pmc_000036,True,False,True,False,False,False,keep_with_warning
pmc_000037,True,False,True,False,False,False,keep_with_warning
pmc_000038,True,False,True,False,False,False,keep_with_warning
pmc_000039,False,False,False,False,False,False,keep
pmc_000040,True,False,True,False,False,False,keep_with_warning
pmc_000041,False,False,False,False,False,False,keep
pmc_000042,False,False,False,False,False,False,keep
pmc_000043,False,False,False,False,False,False,keep
pmc_000044,False,False,False,False,False,False,keep
pmc_000045,False,False,False,False,False,False,keep
pmc_000046,True,False,False,False,False,False,keep_with_warning
pmc_000047,False,False,False,False,False,False,keep
pmc_000048,False,False,False,False,False,False,keep
pmc_000049,True,False,True,False,False,False,keep_with_warning
pmc_000050,False,False,False,False,False,False,keep
pmc_000051,False,False,False,False,False,False,keep
pmc_000052,True,False,True,False,False,False,keep_with_warning
pmc_000053,False,False,False,False,False,False,keep
pmc_000054,True,False,False,False,False,False,keep_with_warning
pmc_000055,True,False,True,False,False,False,keep_with_warning
pmc_000056,False,False,False,False,False,False,keep
pmc_000057,True,False,True,False,False,False,keep_with_warning
