id,record_id,route,chunk_strategy,source_file,title,section_title,section_index,section_source,chunk_index,chunk_count,within_section_chunk_index,within_section_chunk_count,chunk_chars,chunk_token_len
pmc_000001::chunk_00000,pmc_000001,semantic_section,section_whole_under_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Title and abstract,-1,record_title_abstract,0,60,0,1,2211,454
pmc_000001::chunk_00001,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,0,xml_top_level_sec,1,60,0,5,12,3
pmc_000001::chunk_00002,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,0,xml_top_level_sec,2,60,1,5,1762,383
pmc_000001::chunk_00003,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,0,xml_top_level_sec,3,60,2,5,1702,391
pmc_000001::chunk_00004,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,0,xml_top_level_sec,4,60,3,5,1709,402
pmc_000001::chunk_00005,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,0,xml_top_level_sec,5,60,4,5,1653,367
pmc_000001::chunk_00006,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,6,60,0,34,7,3
pmc_000001::chunk_00007,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,7,60,1,34,1504,377
pmc_000001::chunk_00008,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,8,60,2,34,1395,315
pmc_000001::chunk_00009,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,9,60,3,34,1431,337
pmc_000001::chunk_00010,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,10,60,4,34,1907,400
pmc_000001::chunk_00011,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,11,60,5,34,1586,372
pmc_000001::chunk_00012,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,12,60,6,34,1694,365
pmc_000001::chunk_00013,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,13,60,7,34,1719,356
pmc_000001::chunk_00014,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,14,60,8,34,1568,396
pmc_000001::chunk_00015,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,15,60,9,34,1545,377
pmc_000001::chunk_00016,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,16,60,10,34,1718,393
pmc_000001::chunk_00017,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,17,60,11,34,1409,341
pmc_000001::chunk_00018,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,18,60,12,34,1524,365
pmc_000001::chunk_00019,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,19,60,13,34,1747,370
pmc_000001::chunk_00020,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,20,60,14,34,1704,395
pmc_000001::chunk_00021,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,21,60,15,34,1653,360
pmc_000001::chunk_00022,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,22,60,16,34,1633,368
pmc_000001::chunk_00023,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,23,60,17,34,1653,391
pmc_000001::chunk_00024,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,24,60,18,34,1518,378
pmc_000001::chunk_00025,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,25,60,19,34,1565,360
pmc_000001::chunk_00026,pmc_000001,semantic_section,section_recursive_over_512,PMC000xxxxxx/PMC176545.xml,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,1,xml_top_level_sec,26,60,20,34,1616,370
