query,rank,distance,id,record_id,route,chunk_strategy,title,section_title,source_file,snippet
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,1,0.1999911665916443,pmc_000001::chunk_00003,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,PMC000xxxxxx/PMC176545.xml,". 2002 ). Although ascribing putative roles for these ORFs in the absence of sequence similarity remains challenging, their unique nature may be key to identifying Plasmodium -specific pathways as candidates for antimalarial strategies. The complete P. falciparum lifecycle encompasses three major developmental stages: "
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,2,0.21055388450622559,pmc_000001::chunk_00000,pmc_000001,semantic_section,section_whole_under_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Title and abstract,PMC000xxxxxx/PMC176545.xml,"The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum Plasmodium falciparum is the causative agent of the most burdensome form of human malaria, affecting 200–300 million individuals per year worldwide. The recently sequenced genome of P. falciparum revealed over 5,400 genes, of which "
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,3,0.24308288097381592,pmc_000001::chunk_00044,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Discussion,PMC000xxxxxx/PMC176545.xml,". falciparum lifecycle. In this model, the same cis - and trans -acting regulatory elements driving the actual mRNA production in IDC are utilized in other developmental stages. These elements are then controlled by an alternate subset of factors determining the status of the lifecycle progression. These findings also "
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,4,0.25922292470932007,pmc_000513::chunk_00001,pmc_000513,semantic_section,section_whole_under_512,In vivo transcriptional profiling of Plasmodium falciparum,Background,PMC000xxxxxx/PMC514566.xml,"Background Plasmodium falciparum infection remains a major health problem worldwide. Its complex life cycle has hampered standard methods for the study of pathogenesis. New approaches to elucidate parasite biology using whole genomic methods have provided insight into gene function, transcriptional regulation and stage"
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,5,0.28240966796875,pmc_000513::chunk_00000,pmc_000513,semantic_section,section_whole_under_512,In vivo transcriptional profiling of Plasmodium falciparum,Title and abstract,PMC000xxxxxx/PMC514566.xml,In vivo transcriptional profiling of Plasmodium falciparum Background Both host and pathogen factors contribute to disease outcome in Plasmodium falciparum infection. The feasibility of studying the P. falciparum in vivo transcriptome to understand parasite transcriptional response while it resides in the human host is
pRb inactivation mammary cells tumor initiation progression,1,0.269260048866272,pmc_000089::chunk_00002,pmc_000089,recursive_fallback_no_section,recursive_fulltext_no_section,A New Breast Cancer Model,Full text fallback,PMC000xxxxxx/PMC340959.xml,". Building on this work, Terry Van Dyke and colleagues report that loss of the pRb tumor suppressor in mammary tissue has the same effect—predisposition to tumor formation—seen in these other cell types. Despite the different environment inherent in each cell type, the initial events following loss of the pRb pathway w"
pRb inactivation mammary cells tumor initiation progression,2,0.2807108759880066,pmc_000068::chunk_00003,pmc_000068,semantic_section,section_recursive_over_512,pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia,Introduction,PMC000xxxxxx/PMC340938.xml,". 1989 ; Dyson et al. 1989 ; Ewen et al. 1989 ; Stubdal et al. 1997 ; Sullivan et al. 2000 ). In this report we determine the role of pRb inactivation in mammary adenocarcinoma predisposition, establish a role for p53 inactivation in subsequent mammary adenocarcinoma progression, and, together with our previous studies"
pRb inactivation mammary cells tumor initiation progression,3,0.2969643473625183,pmc_000068::chunk_00032,pmc_000068,semantic_section,section_recursive_over_512,pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia,Discussion,PMC000xxxxxx/PMC340938.xml,". A subtly distinct alternative explanation is that the acute loss of pRb signaling, rather than a chronic loss as of pRb during mammary development, as in the chimera and grafting models, accounts for the difference. Cell culture experiments that support this hypothesis were recently reported ( Sage et al. 2003 ). In "
pRb inactivation mammary cells tumor initiation progression,4,0.33612900972366333,pmc_000068::chunk_00004,pmc_000068,semantic_section,section_recursive_over_512,pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia,Introduction,PMC000xxxxxx/PMC340938.xml,". Cell cycle progression from G to S phase occurs when complexes of D-type cyclins/CDK4/CDK6 phosphorylate pRb, thereby derepressing E2Fs to direct transcription of DNA-replication machinery and nucleotide biosynthesis genes ( Dyson 1998 ). Like most human solid tumors, breast cancers harbor frequent alterations in the"
pRb inactivation mammary cells tumor initiation progression,5,0.34777528047561646,pmc_000068::chunk_00000,pmc_000068,semantic_section,section_whole_under_512,pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia,Title and abstract,PMC000xxxxxx/PMC340938.xml,"pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia Retinoblastoma 1 (pRb) and the related pocket proteins, retinoblastoma-like 1 (p107) and retinoblastoma-like 2 (p130) (pRb f , collectively), play a pivotal role in regulating eukaryotic cell cycle pr"
