query,rank,distance,id,record_id,route,chunk_strategy,title,section_title,source_file,snippet
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,1,0.1999911665916443,pmc_000001::chunk_00003,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,PMC000xxxxxx/PMC176545.xml,". 2002 ). Although ascribing putative roles for these ORFs in the absence of sequence similarity remains challenging, their unique nature may be key to identifying Plasmodium -specific pathways as candidates for antimalarial strategies. The complete P. falciparum lifecycle encompasses three major developmental stages: "
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,2,0.21055388450622559,pmc_000001::chunk_00000,pmc_000001,semantic_section,section_whole_under_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Title and abstract,PMC000xxxxxx/PMC176545.xml,"The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum Plasmodium falciparum is the causative agent of the most burdensome form of human malaria, affecting 200–300 million individuals per year worldwide. The recently sequenced genome of P. falciparum revealed over 5,400 genes, of which "
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,3,0.24308288097381592,pmc_000001::chunk_00044,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Discussion,PMC000xxxxxx/PMC176545.xml,". falciparum lifecycle. In this model, the same cis - and trans -acting regulatory elements driving the actual mRNA production in IDC are utilized in other developmental stages. These elements are then controlled by an alternate subset of factors determining the status of the lifecycle progression. These findings also "
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,4,0.31996190547943115,pmc_000004::chunk_00001,pmc_000004,recursive_fallback_no_section,recursive_fulltext_no_section,Monitoring Malaria: Genomic Activity of the Parasite in Human Blood Cells,Full text fallback,PMC000xxxxxx/PMC176548.xml,"Every year, malaria kills as many as 2.5 million people. Of these deaths, 90% occur in sub-Saharan Africa, and most are children. While four species of the single-celled organism Plasmodium cause malaria, Plasmodium falciparum is the deadliest. Harbored in mosquito saliva, the parasite infects its human host as the mos"
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,5,0.37045788764953613,pmc_000001::chunk_00045,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Discussion,PMC000xxxxxx/PMC176545.xml,". Importantly, candidate groups of genes can be identified that are both functionally and transcriptionally related and thus provide focused starting points for the further elucidation of genetic and mechanistic aspects of P. falciparum . Such biological characterizations are presently a major objective in the search f"
pRb inactivation mammary cells tumor initiation progression,1,0.6384437084197998,pmc_000017::chunk_00006,pmc_000017,semantic_section,section_recursive_over_512,Microarray Analysis,Fishing for Hypotheses,PMC000xxxxxx/PMC212694.xml,". Much excitement has been generated recently by the potential for clinical applications of gene expression profiling in relation to complex diseases such as cancer, diabetes, aging, and response to toxins. An early foray into this realm was provided by Alizadeh et al. (2000) , who demonstrated that diffuse large B-cel"
pRb inactivation mammary cells tumor initiation progression,2,0.6615666151046753,pmc_000001::chunk_00037,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". In addition, the phase of the PfSUB1 homologue suggests a concomitant role, with PM IX slightly preceding merozoite invasion. In total, we have detected gene expression for over 80 putative proteases throughout the entire IDC ( Table S6 ). This set includes over 65 proteases from a group of recently predicted proteas"
pRb inactivation mammary cells tumor initiation progression,3,0.7067838907241821,pmc_000001::chunk_00021,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,. Schizont Stage A transition from early to mid-schizont is marked by the maximal induction of 29 ORFs predicted to encode various subunits of the proteasome ( Figure 2 I). Seven α and six β subunits of the 20S particle and 16 ORFs of the 19S regulatory particle were identified in this gene group. The common expression
pRb inactivation mammary cells tumor initiation progression,4,0.724473237991333,pmc_000001::chunk_00024,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". In addition, late-schizont-specific expression was observed for several antigens whose functions are not completely understood, but which have been associated with the invasion process. These ORFs include the merozoite-capping protein (MCP1), erythrocyte-binding-like protein 1 (EBL1), reticulocyte-binding proteins (R"
pRb inactivation mammary cells tumor initiation progression,5,0.7312684059143066,pmc_000001::chunk_00025,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". Peak expression during the mid-schizont stage was also observed for seven members of the serine repeat antigen (SERA) family, all of which contain putative cysteine protease domains. In addition to the proteases, expression of 12 serine/threonine protein kinases and three phophorylases was tightly synchronized with t"
