metric,value
input_records,3028
embedding_model,sentence-transformers/all-MiniLM-L6-v2
hf_home,/Users/plain/Documents/实习/百度大模型/medical_rag/artifacts/models/huggingface
whole_document_under_512_records,28
semantic_section_records,2695
recursive_fallback_no_section_records,305
chunk_size,400
chunk_overlap,80
whole_doc_token_limit,512
total_chunks,74276
chroma_collection_count,74276
chunks_per_record_mean,24.52972258916777
chunks_per_record_median,24.0
chunks_per_record_p95,47.0
chunk_token_len_mean,279.5644757391351
chunk_token_len_p95,401.0
chunking_seconds,241.876
model_load_seconds,0.155
chroma_add_seconds,905.917
query_seconds_total,0.017
total_seconds,1149.139
persist_directory,archive/experiments/indexes/chroma_fulltext_limit3028_routed_minilm
persist_size_bytes,1033798676
persist_size_mb,985.91
batch_size,512
encode_batch_size,32
top_k,5
chunks_route_recursive_fallback_no_section,1369
chunks_route_semantic_section,72879
chunks_route_whole_document_under_512,28
chunks_strategy_recursive_fulltext_no_section,1369
chunks_strategy_section_recursive_over_512,62287
chunks_strategy_section_whole_under_512,10592
chunks_strategy_whole_document,28
chunks_source_no_section_recursive_fallback,1369
chunks_source_record_title_abstract,3364
chunks_source_whole_document_under_512,28
chunks_source_xml_top_level_sec,69515
