metric,value
input_records,20
embedding_model,sentence-transformers/all-MiniLM-L6-v2
hf_home,/Users/plain/Documents/实习/百度大模型/medical_rag/artifacts/models/huggingface
whole_document_under_512_records,1
semantic_section_records,12
recursive_fallback_no_section_records,7
chunk_size,400
chunk_overlap,80
whole_doc_token_limit,512
total_chunks,408
chroma_collection_count,408
chunks_per_record_mean,20.4
chunks_per_record_median,11.0
chunks_per_record_p95,60.55000000000001
chunk_token_len_mean,304.67892156862746
chunk_token_len_p95,401.0
chunking_seconds,1.255
model_load_seconds,0.137
chroma_add_seconds,5.817
query_seconds_total,0.018
total_seconds,8.268
persist_directory,archive/experiments/indexes/chroma_fulltext_smoke20_routed_minilm
persist_size_bytes,7794852
persist_size_mb,7.43
batch_size,64
encode_batch_size,16
top_k,5
chunks_route_recursive_fallback_no_section,32
chunks_route_semantic_section,375
chunks_route_whole_document_under_512,1
chunks_strategy_recursive_fulltext_no_section,32
chunks_strategy_section_recursive_over_512,339
chunks_strategy_section_whole_under_512,36
chunks_strategy_whole_document,1
chunks_source_no_section_recursive_fallback,32
chunks_source_record_title_abstract,12
chunks_source_whole_document_under_512,1
chunks_source_xml_top_level_sec,363
