section_title,count
discussion,85357
results,78815
authors' contributions,57064
methods,53300
background,51776
conclusion,44912
introduction,43766
competing interests,43225
materials and methods,30296
supplementary material,25694
statistical analysis,19755
conclusions,16160
pre-publication history,15678
supporting information,13944
abbreviations,13295
data collection,11315
results and discussion,9669
experimental,9492
refinement,9174
crystal data,9162
related literature,9153
data analysis,5298
1. introduction,4537
case presentation,4111
statistical analyses,3832
statistics,3553
consent,3232
patients,3026
participants,2850
subjects,2798
list of abbreviations,2750
animals,2748
immunohistochemistry,2737
study population,2678
ethics statement,2584
cell culture,2567
study design,2555
statistical methods,2142
western blot analysis,1905
limitations,1897
case report,1869
analysis,1798
3. results,1764
4. discussion,1742
materials,1734
availability and requirements,1727
patients and methods,1595
implementation,1323
western blotting,1322
accession numbers,1294
flow cytometry,1214
measures,1159
procedure,1145
summary,1133
key messages,1041
2. materials and methods,1023
ethics,1008
reagents,942
genotyping,923
sample size,906
list of abbreviations used,903
discussion and conclusion,899
mice,881
phylogenetic analysis,863
design,857
patient characteristics,840
antibodies,823
findings,820
experimental procedures,818
methods/design,801
data,799
additional data files,785
cell lines,757
method,747
material and methods,728
ethical considerations,722
outcome measures,709
setting,696
treatment,691
immunofluorescence,683
