metric,value
records,153121.0
chunk_size_for_strategy,400.0
chunk_overlap_for_strategy,80.0
whole_doc_token_limit,512.0
full_token_mean,5658.861240456894
full_token_median,5374.0
full_token_p95,13549.0
full_token_p99,18363.99999999994
estimated_total_full_chunks_if_implemented,2750460.0
records_with_section_titles,125852.0
records_with_section_titles_rate,0.8219120826013414
records_with_imrad_core,79546.0
records_with_imrad_core_rate,0.5194976521835672
route_records_recursive_fallback_no_section,6595.0
route_estimated_chunks_recursive_fallback_no_section,26373.0
route_records_semantic_section,125562.0
route_estimated_chunks_semantic_section,2700414.0
route_records_whole_document_under_512,20964.0
route_estimated_chunks_whole_document_under_512,23673.0
