abbreviation,count
DNA,416075
PCR,233934
RNA,229474
II,156397
CI,147073
HIV,123178
SD,93264
S1,91749
CA,90497
PBS,82240
OR,77932
CD4,76510
GFP,76175
III,75812
MB,66414
C-,66061
SNP,64168
N-,62730
HIV-1,61079
WT,61073
RT-PCR,59204
GO,56572
S2,54001
CT,52462
MS,51409
BMI,50785
T-,49113
ER,48383
TB,46896
US,45389
CD8,44016
IV,43423
IFN-,43286
CO,42700
RA,41955
ATP,40397
ANOVA,40078
RT,39697
NO,38921
ELISA,38732
VEGF,38366
LPS,36261
TNF-,35731
S3,34024
P-,33993
X-,33418
SEM,33390
NS,32968
IL-6,32913
NF-,32600
NA,32307
AD,31493
PM,31043
EGFR,30974
HCV,30892
MRI,29470
HPV,29424
AIDS,29049
TGF-,27364
IL-,27208
PPAR,26923
LD,26830
L-,26798
E-,26708
PA,26361
ICU,26221
MA,26180
GC,26055
HA,25262
HIV-,25086
DC,25074
ES,24681
S4,24065
AA,23935
EST,23928
MTEF,23889
HR,23883
ROS,23627
EC,23583
PD,23475
