record_id,doc_id,source_file,title,journal,pub_date,pub_year,pmid,pmcid,article_type,title_missing,abstract_missing,body_missing,title_abstract_token_len,full_token_len,exceeds_512_title_abstract,exceeds_512_full,estimated_chunks_title_abstract,estimated_chunks_full,section_title_count,has_any_section_title,has_introduction,has_methods,has_results,has_discussion,has_conclusion,imrad_core,imrad_with_conclusion,quality_decision,recommended_split_strategy,recommended_split_strategy_cn,full_length_group
pmc_037962,PMID:14219541,PMC002xxxxxx/PMC2071101.xml,Dynamics of Tumour Growth,British Journal of Cancer,1964-09,1964,14219541,PMC2071101,research-article,False,True,True,7,7,False,False,1,1,0,False,False,False,False,False,False,False,False,need_review,whole_document_under_512,整体不分割,short
pmc_024308,PMID:17540035,PMC001xxxxxx/PMC1891297.xml,Nasal septal teratoma in a child,World Journal of Surgical Oncology,2007-05-31,2007,17540035,PMC1891297,research-article,False,False,False,183,2374,False,True,1,8,5,True,True,False,False,True,False,False,False,keep,semantic_section,按语义章节分割,short
pmc_029629,PMID:1931607,PMC001xxxxxx/PMC1977490.xml,A correlation between nuclear supercoiling and the response of patients with bladder cancer to radiotherapy.,British Journal of Cancer,1991-11,1991,1931607,PMC1977490,research-article,False,False,True,426,426,False,False,2,2,0,False,False,False,False,False,False,False,False,keep_with_warning,whole_document_under_512,整体不分割,short
pmc_145467,PMID:21578615,PMC002xxxxxx/PMC2972125.xml,"[ N , N ′-Bis(3-meth­oxy-2-oxidobenzyl­idene)ethyl­enediammonium-κ 4 O , O ′, O ′′, O ′′′]tris­(nitrato-κ 2 O , O ′)dysprosium(III)",Acta Crystallographica Section E: Structure Reports Online,2009-11-14,2009,21578615,PMC2972125,research-article,False,False,False,167,680,False,True,1,2,6,True,False,False,False,False,False,False,False,keep,semantic_section,按语义章节分割,short
pmc_033531,PMC2010158,PMC002xxxxxx/PMC2010158.xml,"Carcino-Embryonic Proteins: Chemistry, Biology, Clinical Application. Vols I & II",British Journal of Cancer,1980-01,1980,,PMC2010158,book-review,False,True,True,20,20,False,False,1,1,0,False,False,False,False,False,False,False,False,need_review,whole_document_under_512,整体不分割,short
pmc_064667,PMID:18634553,PMC002xxxxxx/PMC2491651.xml,Mycobacterium tuberculosis aortic graft infection with recurrent hemoptysis: a case report,Journal of Medical Case Reports,2008-07-18,2008,18634553,PMC2491651,research-article,False,False,False,232,2597,False,True,1,8,8,True,True,False,False,True,True,False,False,keep,semantic_section,按语义章节分割,short
pmc_092816,PMID:19830171,PMC002xxxxxx/PMC2726526.xml,Fetal death due to upper airway compromise complicated by thyroid storm in a mother with uncontrolled Graves' disease: a case report,Journal of Medical Case Reports,2009-05-28,2009,19830171,PMC2726526,research-article,False,False,False,331,2672,False,True,1,9,7,True,True,False,False,True,True,False,False,keep,semantic_section,按语义章节分割,short
pmc_146484,PMID:21583633,PMC002xxxxxx/PMC2977473.xml,2-Bromo- N -(4-bromo­phen­yl)acetamide,Acta Crystallographica Section E: Structure Reports Online,2009-07-22,2009,21583633,PMC2977473,research-article,False,False,False,86,610,False,True,1,2,6,True,False,False,False,False,False,False,False,keep,semantic_section,按语义章节分割,short
pmc_044547,PMID:18301742,PMC002xxxxxx/PMC2244707.xml,A Specific and Rapid Neural Signature for Parental Instinct,PLoS ONE,2008-02-27,2008,18301742,PMC2244707,research-article,False,False,False,394,6387,False,True,1,20,8,True,True,True,True,True,False,True,False,keep,semantic_section,按语义章节分割,medium
pmc_010906,PMID:16722590,PMC001xxxxxx/PMC1440301.xml,Comparison of flow characteristics and vascular reactivity of radial artery and long saphenous vein grafts [NCT00139399],Journal of Cardiothoracic Surgery,2006-03-03,2006,16722590,PMC1440301,research-article,False,False,False,484,6147,False,True,2,19,21,True,False,True,True,True,True,False,False,keep,semantic_section,按语义章节分割,medium
pmc_016093,PMID:17002798,PMC001xxxxxx/PMC1592077.xml,Atherogenic dyslipidemia in metabolic syndrome and type 2 diabetes: therapeutic options beyond statins,Cardiovascular Diabetology,2006-09-26,2006,17002798,PMC1592077,review-article,False,False,False,497,6459,False,True,2,20,14,True,False,False,True,False,True,False,False,keep,semantic_section,按语义章节分割,medium
pmc_134233,PMID:20871866,PMC002xxxxxx/PMC2943106.xml,Serum Endoglin Levels in Patients Suffering from Systemic Sclerosis and Elevated Systolic Pulmonary Arterial Pressure,International Journal of Rheumatology,2010-08-24,2010,20871866,PMC2943106,other,False,False,False,344,4508,False,True,1,14,10,True,True,True,True,True,True,True,True,keep,semantic_section,按语义章节分割,medium
pmc_024081,PMID:17565375,PMC001xxxxxx/PMC1885976.xml,Phylogeny of Diving Beetles Reveals a Coevolutionary Arms Race between the Sexes,PLoS ONE,2007-06-13,2007,17565375,PMC1885976,research-article,False,False,False,216,5219,False,True,1,17,7,True,True,True,True,True,False,True,False,keep,semantic_section,按语义章节分割,medium
pmc_078445,PMID:19080007,PMC002xxxxxx/PMC2644605.xml,Ties That Bind: Maternal and Child Health and Chronic Disease Prevention at the Centers for Disease Control and Prevention,Preventing Chronic Disease,2008-12-15,2008,19080007,PMC2644605,introduction,False,True,False,22,3684,False,True,1,12,4,True,True,False,False,False,False,False,False,keep_with_warning,semantic_section,按语义章节分割,medium
pmc_093455,PMID:11749750,PMC002xxxxxx/PMC2730256.xml,"Antimicrobial Drug Resistance in Pathogens Causing Nosocomial Infections at a University Hospital in Taiwan, 1981-1999",Emerging Infectious Diseases,2002-01,2002,11749750,PMC2730256,research-article,False,False,False,381,5857,False,True,1,19,5,True,False,True,True,True,False,False,False,keep,semantic_section,按语义章节分割,medium
pmc_135695,PMID:20846395,PMC002xxxxxx/PMC2949839.xml,A role for the histone deacetylase HDAC4 in the life-cycle of HIV-1-based vectors,Virology Journal,2010-09-16,2010,20846395,PMC2949839,research-article,False,False,False,336,7146,False,True,1,23,20,True,True,False,True,True,False,False,False,keep,semantic_section,按语义章节分割,medium
