term,count
cells,1696163
data,1352632
patients,1138683
cell,977460
expression,976870
analysis,903142
genes,849569
gene,805030
protein,760655
both,734934
only,666775
different,652666
time,578945
treatment,571512
group,556482
control,553340
levels,552383
found,549114
model,537668
significant,506609
health,496786
high,473276
three,471194
activity,470189
compared,465267
cancer,461849
proteins,459218
human,452570
first,448487
could,432537
use,428811
associated,423801
well,419614
performed,414846
disease,412823
dna,411493
total,411061
mice,409612
effect,407181
some,399061
based,390459
sequence,382809
level,376007
mean,374827
response,373160
same,372563
increased,371963
age,370829
similar,363530
fig,362964
will,361102
samples,359871
test,357805
higher,352888
effects,351599
years,348080
information,347356
clinical,346202
groups,345437
present,345253
risk,344768
while,343750
values,342649
population,338549
patient,338509
showed,337476
described,333261
cases,332637
significantly,330225
system,329113
because,325966
sequences,325716
rate,325587
factors,325007
who,323908
specific,323736
further,321744
function,318669
any,318443
would,316101
