metric,value
chunk_id_global_unique,True
doc_id_missing_count,0
chunk_index_non_continuous_doc_count,0
total_chunks_mismatch_doc_count,0
token_count_over_512_count,0
empty_text_chunk_count,0
short_chunk_count_token_lt_20,69
garbled_chunk_count,10
source_title_missing_count,11
pmcid_missing_count,0
source_file_missing_count,0
semantic_section_without_section_title,0
recursive_fallback_configured_overlap,80
recursive_fallback_multi_chunk_doc_count,5699
quality_decision_keep,3014465
quality_decision_keep_with_warning,42504
quality_decision_need_review,109
