part_id,part_file,chunk_count,status,indexed_at,start_chunk_id,end_chunk_id
0,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part000.parquet,64853,complete,2026-07-08T01:15:27,PMCID:PMC176545::chunk_00000,PMCID:PMC555851::chunk_00019
1,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part001.parquet,65102,complete,2026-07-08T01:23:02,PMCID:PMC555852::chunk_00000,PMCID:PMC1236914::chunk_00026
2,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part002.parquet,57604,complete,2026-07-08T01:29:49,PMCID:PMC1236915::chunk_00000,PMCID:PMC1351196::chunk_00020
3,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part003.parquet,65697,complete,2026-07-08T01:37:45,PMCID:PMC1351197::chunk_00000,PMCID:PMC1475888::chunk_00035
4,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part004.parquet,67365,complete,2026-07-08T01:45:49,PMCID:PMC1475889::chunk_00000,PMCID:PMC1560135::chunk_00011
5,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part005.parquet,70743,complete,2026-07-08T01:54:13,PMCID:PMC1560136::chunk_00000,PMCID:PMC1697826::chunk_00041
6,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part006.parquet,69791,complete,2026-07-08T02:02:46,PMCID:PMC1698137::chunk_00000,PMCID:PMC1808479::chunk_00107
7,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part007.parquet,71358,complete,2026-07-08T02:11:19,PMCID:PMC1808480::chunk_00000,PMCID:PMC1885803::chunk_00026
8,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part008.parquet,80908,complete,2026-07-08T02:21:02,PMCID:PMC1885804::chunk_00000,PMCID:PMC1959373::chunk_00049
9,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part009.parquet,13248,complete,2026-07-08T02:22:49,PMCID:PMC1959377::chunk_00000,PMCID:PMC1976632::chunk_00034
10,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part010.parquet,15618,complete,2026-07-08T02:24:41,PMCID:PMC1978073::chunk_00000,PMCID:PMC2008767::chunk_00018
11,/root/autodl-tmp/medical_rag/artifacts/datasets/chunks/pmc_chunks_limit153121_part011.parquet,7292,complete,2026-07-08T02:25:33,PMCID:PMC2013936::chunk_00000,PMCID:PMC2031922::chunk_00024
