query,rank,distance,chunk_id,doc_id,source_title,journal,pub_year,pmcid,section_title,split_strategy,text_preview
EGFR mutation lung cancer treatment,1,0.21027427911758423,PMCID:PMC545205::chunk_00000,PMCID:PMC545205,Gene Mutations in Lung Cancer: Promising Predictive Factors for the Success of Molecular Therapy,PLoS Medicine,2005,PMC545205,Molecular Therapy for Lung Cancer,semantic_section,"Title: Gene Mutations in Lung Cancer: Promising Predictive Factors for the Success of Molecular Therapy Section: Molecular Therapy for Lung Cancer Text: Gefitinib is the first “molecular-target agent” for lung cancer that inhibits the tyrosine kinase of the epidermal growth factor receptor (EGFR; also known as ERBB1). EGFR is frequently overexpressed in non-small-cell lung cancer (NSCLC), especially in squamous cell carcinoma, and its expression is related to the cancer's proliferation. Initial clinical trials of gefitinib showed its modest clinical activity in patients who had failed previous standard chemotherapy. But subsequent randomized trials in patients with previously untreated, advanced NSCLC have not shown a clinical advantage of gefitinib combined with standard chemotherapy over"
EGFR mutation lung cancer treatment,2,0.22255825996398926,PMCID:PMC545205::chunk_00003,PMCID:PMC545205,Gene Mutations in Lung Cancer: Promising Predictive Factors for the Success of Molecular Therapy,PLoS Medicine,2005,PMC545205,Therapeutic Implications,semantic_section,"Title: Gene Mutations in Lung Cancer: Promising Predictive Factors for the Success of Molecular Therapy Section: Therapeutic Implications Text: In the clinical setting, prolonged disease stabilization with no measurable reduction in tumor size is seen in about half of patients treated with EGFR inhibitors, and a significant survival benefit in this group was shown in a phase III trial [6] . The mutation status of the EGFR gene and K-ras gene among those stabilized tumors should be evaluated; it may reveal two different groups differentiated by mutation status. It will also be important to establish whether, in tumors with an EGFR mutation that eventually acquire resistance to EGFR inhibitors, the resistance is associated with a change of EGFR status (mutation or change in expression) or is"
EGFR mutation lung cancer treatment,3,0.22613996267318726,PMCID:PMC545205::chunk_00001,PMCID:PMC545205,Gene Mutations in Lung Cancer: Promising Predictive Factors for the Success of Molecular Therapy,PLoS Medicine,2005,PMC545205,EGFR Gene Mutations in NSCLC,semantic_section,"Title: Gene Mutations in Lung Cancer: Promising Predictive Factors for the Success of Molecular Therapy Section: EGFR Gene Mutations in NSCLC Text: In April and May 2004, two new studies published in Science and the New England Journal of Medicine helped to explain at the molecular level the low clinical activity of EGFR inhibitors [ 7 , 8 ]. These studies identified somatic mutations in the EGFR gene, especially around the region encoding the ATP-binding pocket of the receptor's tyrosine kinase domain. These mutations increased the sensitivity of tumor cells to gefitinib. A high incidence of mutations was detected in patients with NSCLC that had a durable clinical response to gefitinib, and subsequent studies revealed that these mutations were also related to the response to erlotinib. Mo"
EGFR mutation lung cancer treatment,4,0.24778234958648682,PMCID:PMC545207::chunk_00010,PMCID:PMC545207,KRAS Mutations and Primary Resistance of Lung Adenocarcinomas to Gefitinib or Erlotinib,PLoS Medicine,2005,PMC545207,Discussion,semantic_section,"Title: KRAS Mutations and Primary Resistance of Lung Adenocarcinomas to Gefitinib or Erlotinib Section: Discussion Text: . The drugs work by blocking the effect of a molecule called the epidermal growth factor receptor (EGFR), which relays instructions to cells to grow and divide. Recently, researchers found that these drugs most effectively shrink tumors that have acquired abnormal variations (mutations) in the EGFR gene. These mutations somehow allow tumor cells to escape normal safety mechanisms that keep cells from growing out of control. Some lung cancers also have mutations in another gene called KRAS . Interestingly, KRAS mutations and EGFR mutations are rarely ever found in the same tumor. Why Was This Study Done? Unfortunately, EGFR mutations are only found in a minority of patien"
EGFR mutation lung cancer treatment,5,0.25183796882629395,PMCID:PMC516034::chunk_00000,PMCID:PMC516034,"Evaluation of safety and efficacy of gefitinib ('iressa', zd1839) as monotherapy in a series of Chinese patients with advanced non-small-cell lung cancer: experience from a compassionate-use programme",BMC Cancer,2004,PMC516034,Background,semantic_section,"Title: Evaluation of safety and efficacy of gefitinib ('iressa', zd1839) as monotherapy in a series of Chinese patients with advanced non-small-cell lung cancer: experience from a compassionate-use programme Section: Background Text: Platinum-based combination chemotherapy is the standard first-line treatment for patients with advanced non-small-cell lung cancer (NSCLC). Although meta-analysis of clinical trials proved that combination chemotherapy for advanced NSCLC is superior to best supportive care [ 1 ] and new cytotoxic agents have been developed over the past decade, the 5-year survival rate for these patients remains <1% [ 2 ]. The pace of progress is too slow and new therapeutic approaches are required. Based on our increasing understanding of the biology of NSCLC, targeted therap"
HIV reverse transcriptase inhibitor resistance,1,0.2539515495300293,PMCID:PMC539050::chunk_00013,PMCID:PMC539050,"Randomized, Controlled Trial of Therapy Interruption in Chronic HIV-1 Infection",PLoS Medicine,2004,PMC539050,Results,semantic_section,"Title: Randomized, Controlled Trial of Therapy Interruption in Chronic HIV-1 Infection Section: Results Text: . One patient in the repeated interruptions arm (1/21; patient S56) failed therapy after 20 wk following the third TI by maintaining a viral load between 50 and 999 copies/ml in the presence of previously undetected resistance mutations. Table 2 Therapy Failures with Plasma HIV-1 Protease and Reverse Transcriptase Inhibitor–Associated Resistance Patterns during on Therapy Periods (Study Phase I) Bold identifies drugs for which mutations were detected in plasma 3TC, lamivudine; ABV, abacavir; ddI, didanosine; d4T, stavudine; EFZ, efavirenz; NVP, nevirapine; RT, reverse transcriptase a Mutations associated with patient's regimen In patients who reached phase II in the absence of ther"
HIV reverse transcriptase inhibitor resistance,2,0.27863818407058716,PMCID:PMC554760::chunk_00002,PMCID:PMC554760,New York City HIV superbug: fear or fear not?,Retrovirology,2005,PMC554760,recursive_fallback,recursive_fallback_no_section,"Title: New York City HIV superbug: fear or fear not? Section: recursive_fallback Text: . Is this case a harbinger of a new epidemic with this superbug or is it just an isolated, forme fruste of HIV infection? No one knows the answer to this question yet, but we do have plenty of data to suggest that the latter is the case. In people naïve to drug therapy, bone fide antiviral resistance is uncommon. A recent USA based study of treatment-naïve patients found that the prevalence of mutations associated with drug resistance was 8.8%[ 2 ]. This means 8.8% of the subjects' viruses tested positive by genotyping for 1 or more mutations associated with drug resistance. Having a single mutation associated with resistance does not necessarily make a virus drug resistant. For many drugs, HIV must cont"
HIV reverse transcriptase inhibitor resistance,3,0.28423309326171875,PMCID:PMC554760::chunk_00003,PMCID:PMC554760,New York City HIV superbug: fear or fear not?,Retrovirology,2005,PMC554760,recursive_fallback,recursive_fallback_no_section,"Title: New York City HIV superbug: fear or fear not? Section: recursive_fallback Text: . However, when viruses containing these mutations were analyzed by phenotyping, only 39% demonstrated decreased reduced drug susceptibility. In other words, less than 3.5% of all isolates had phenotypic resistance. A commonly held view on why the level of drug resistance is low is that most mutations associated with drug resistance, also decrease viral fitness. Except the K103N reverse transcriptase mutation, which confers resistance to the three approved non-nucleoside inhibitors (NNRTIs), other mutations, associated with high level drug resistance, are thought to significantly decrease viral fitness. Theoretically, in the absence of drug pressure in a newly infected individual, wild-type virus is eith"
HIV reverse transcriptase inhibitor resistance,4,0.28561270236968994,PMCID:PMC539050::chunk_00014,PMCID:PMC539050,"Randomized, Controlled Trial of Therapy Interruption in Chronic HIV-1 Infection",PLoS Medicine,2004,PMC539050,Results,semantic_section,"Title: Randomized, Controlled Trial of Therapy Interruption in Chronic HIV-1 Infection Section: Results Text: . In the repeated interruptions arm, analysis of newly detected resistance mutations in phase II, as defined by a lack of detection during viremic time points in phase I, identified 3/18 patients (patients S4, S22, and S43) with this pattern (see notations in Table 3 ). Table 3 Non-Therapy Failures with Resistance Detected off ART at First and Last Viremic Time Point in Comparator Open-Ended TI (Phase II) Bold identifies drugs against which mutations were detected a Mutations associated with patient's regimen b Patient/physician changed regimen after open-ended interruption for reasons not related to suppression activity on previous regimen: patient S7 changed to 3TC, TNV, EFZ, NVP"
HIV reverse transcriptase inhibitor resistance,5,0.28724050521850586,PMCID:PMC539050::chunk_00019,PMCID:PMC539050,"Randomized, Controlled Trial of Therapy Interruption in Chronic HIV-1 Infection",PLoS Medicine,2004,PMC539050,Discussion,semantic_section,"Title: Randomized, Controlled Trial of Therapy Interruption in Chronic HIV-1 Infection Section: Discussion Text: . On the other hand, virological failure in the continued presence of an NNRTI-based regimen in phase I was associated with detection of K103N, as observed in one patient (S56) in the repeated interruption arm and three patients (S37, S52, and S59) in the continuous therapy arm with self-reported non-adherence. Drug resistance that occurs during virological drug failure predicts virological responses to salvage treatment [ 31 , 32 , 33 ]. In contrast, the clinical implications of drug resistance mutations that appear shortly after TI in chronically suppressed patients are not clear. Case reports in this cohort of patients have demonstrated that drug-resistant variants that appea"
