query_id,stage,strategy_a,strategy_b,size_a,size_b,overlap_count,overlap_rate,jaccard
Q001,pre_doc_top50,simple,rrf,25,25,25,1.0,1.0
Q001,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q001,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q001,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q001,pre_doc_top50,simple,weighted,25,24,24,1.0,0.96
Q001,pre_chunk_top50,simple,weighted,50,50,49,0.98,0.9607843137254902
Q001,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q001,final_doc_top10,simple,weighted,10,10,10,1.0,1.0
Q001,pre_doc_top50,rrf,weighted,25,24,24,1.0,0.96
Q001,pre_chunk_top50,rrf,weighted,50,50,49,0.98,0.9607843137254902
Q001,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q001,final_doc_top10,rrf,weighted,10,10,10,1.0,1.0
Q002,pre_doc_top50,simple,rrf,24,24,24,1.0,1.0
Q002,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q002,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q002,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q002,pre_doc_top50,simple,weighted,24,21,20,0.9523809523809523,0.8
Q002,pre_chunk_top50,simple,weighted,50,50,41,0.82,0.6949152542372882
Q002,final_doc_top5,simple,weighted,5,5,3,0.6,0.42857142857142855
Q002,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q002,pre_doc_top50,rrf,weighted,24,21,20,0.9523809523809523,0.8
Q002,pre_chunk_top50,rrf,weighted,50,50,41,0.82,0.6949152542372882
Q002,final_doc_top5,rrf,weighted,5,5,3,0.6,0.42857142857142855
Q002,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q003,pre_doc_top50,simple,rrf,31,30,30,1.0,0.967741935483871
Q003,pre_chunk_top50,simple,rrf,50,50,49,0.98,0.9607843137254902
Q003,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q003,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q003,pre_doc_top50,simple,weighted,31,29,29,1.0,0.9354838709677419
Q003,pre_chunk_top50,simple,weighted,50,50,48,0.96,0.9230769230769231
Q003,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q003,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q003,pre_doc_top50,rrf,weighted,30,29,29,1.0,0.9666666666666667
Q003,pre_chunk_top50,rrf,weighted,50,50,48,0.96,0.9230769230769231
Q003,final_doc_top5,rrf,weighted,5,5,5,1.0,1.0
Q003,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q004,pre_doc_top50,simple,rrf,15,15,15,1.0,1.0
Q004,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q004,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
Q004,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q004,pre_doc_top50,simple,weighted,15,16,14,0.9333333333333333,0.8235294117647058
Q004,pre_chunk_top50,simple,weighted,50,50,47,0.94,0.8867924528301887
Q004,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q004,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
