query_id,stage,strategy_a,strategy_b,size_a,size_b,overlap_count,overlap_rate,jaccard
Q001,pre_doc_top50,simple,rrf,25,25,24,0.96,0.9230769230769231
Q001,pre_chunk_top50,simple,rrf,50,50,49,0.98,0.9607843137254902
Q001,final_doc_top5,simple,rrf,5,5,4,0.8,0.6666666666666666
Q001,final_doc_top10,simple,rrf,10,10,9,0.9,0.8181818181818182
Q001,pre_doc_top50,simple,weighted,25,23,23,1.0,0.92
Q001,pre_chunk_top50,simple,weighted,50,50,48,0.96,0.9230769230769231
Q001,final_doc_top5,simple,weighted,5,5,5,1.0,1.0
Q001,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q001,pre_doc_top50,rrf,weighted,25,23,23,1.0,0.92
Q001,pre_chunk_top50,rrf,weighted,50,50,48,0.96,0.9230769230769231
Q001,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q001,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q002,pre_doc_top50,simple,rrf,18,19,18,1.0,0.9473684210526315
Q002,pre_chunk_top50,simple,rrf,50,50,48,0.96,0.9230769230769231
Q002,final_doc_top5,simple,rrf,5,5,4,0.8,0.6666666666666666
Q002,final_doc_top10,simple,rrf,10,10,9,0.9,0.8181818181818182
Q002,pre_doc_top50,simple,weighted,18,15,15,1.0,0.8333333333333334
Q002,pre_chunk_top50,simple,weighted,50,50,39,0.78,0.639344262295082
Q002,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q002,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q002,pre_doc_top50,rrf,weighted,19,15,15,1.0,0.7894736842105263
Q002,pre_chunk_top50,rrf,weighted,50,50,38,0.76,0.6129032258064516
Q002,final_doc_top5,rrf,weighted,5,5,4,0.8,0.6666666666666666
Q002,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q003,pre_doc_top50,simple,rrf,30,30,30,1.0,1.0
Q003,pre_chunk_top50,simple,rrf,50,50,49,0.98,0.9607843137254902
Q003,final_doc_top5,simple,rrf,5,5,4,0.8,0.6666666666666666
Q003,final_doc_top10,simple,rrf,10,10,10,1.0,1.0
Q003,pre_doc_top50,simple,weighted,30,28,26,0.9285714285714286,0.8125
Q003,pre_chunk_top50,simple,weighted,50,50,42,0.84,0.7241379310344828
Q003,final_doc_top5,simple,weighted,5,5,3,0.6,0.42857142857142855
Q003,final_doc_top10,simple,weighted,10,10,9,0.9,0.8181818181818182
Q003,pre_doc_top50,rrf,weighted,30,28,26,0.9285714285714286,0.8125
Q003,pre_chunk_top50,rrf,weighted,50,50,43,0.86,0.7543859649122807
Q003,final_doc_top5,rrf,weighted,5,5,3,0.6,0.42857142857142855
Q003,final_doc_top10,rrf,weighted,10,10,9,0.9,0.8181818181818182
Q004,pre_doc_top50,simple,rrf,16,17,16,1.0,0.9411764705882353
Q004,pre_chunk_top50,simple,rrf,50,50,47,0.94,0.8867924528301887
Q004,final_doc_top5,simple,rrf,5,5,4,0.8,0.6666666666666666
Q004,final_doc_top10,simple,rrf,10,10,8,0.8,0.6666666666666666
Q004,pre_doc_top50,simple,weighted,16,18,16,1.0,0.8888888888888888
Q004,pre_chunk_top50,simple,weighted,50,50,46,0.92,0.8518518518518519
Q004,final_doc_top5,simple,weighted,5,5,4,0.8,0.6666666666666666
Q004,final_doc_top10,simple,weighted,10,10,10,1.0,1.0
Q004,pre_doc_top50,rrf,weighted,17,18,16,0.9411764705882353,0.8421052631578947
Q004,pre_chunk_top50,rrf,weighted,50,50,46,0.92,0.8518518518518519
Q004,final_doc_top5,rrf,weighted,5,5,3,0.6,0.42857142857142855
Q004,final_doc_top10,rrf,weighted,10,10,8,0.8,0.6666666666666666
Q005,pre_doc_top50,simple,rrf,34,34,34,1.0,1.0
Q005,pre_chunk_top50,simple,rrf,50,50,50,1.0,1.0
Q005,final_doc_top5,simple,rrf,5,5,5,1.0,1.0
